,Unnamed: 0,h,V,C,x,y,Y
0,0,2.5R,1,0,0.31,0.316,1.21
1,1,2.5R,1,2,0.374,0.292,0.98
2,2,2.5R,1,4,0.431,0.265,0.83
3,3,2.5R,1,6,0.471,0.242,0.74
4,4,2.5R,1,8,0.523,0.221,0.67
5,5,2.5R,1,10,0.56,0.203,0.62
6,6,5R,1,2,0.381,0.301,0.99
7,7,5R,1,4,0.45,0.284,0.84
8,8,5R,1,6,0.512,0.265,0.73
9,9,5R,1,8,0.567,0.246,0.66
10,10,5R,1,10,0.614,0.228,0.6
11,11,7.5R,1,2,0.387,0.311,1.0
12,12,7.5R,1,4,0.465,0.3,0.84
13,13,7.5R,1,6,0.526,0.284,0.73
14,14,7.5R,1,8,0.6,0.267,0.65
15,15,7.5R,1,10,0.657,0.251,0.59
16,16,10R,1,2,0.394,0.322,1.01
17,17,10R,1,4,0.482,0.321,0.85
18,18,10R,1,6,0.566,0.311,0.73
19,19,10R,1,8,0.643,0.296,0.64
20,20,10R,1,10,0.709,0.281,0.58
21,21,2.5YR,1,0,0.31,0.316,1.21
22,22,2.5YR,1,2,0.398,0.334,1.02
23,23,2.5YR,1,4,0.496,0.34,0.85
24,24,2.5YR,1,6,0.597,0.34,0.72
25,25,5YR,1,2,0.4,0.344,1.04
26,26,5YR,1,4,0.513,0.369,0.87
27,27,5YR,1,6,0.636,0.38,0.72
28,28,7.5YR,1,2,0.401,0.359,1.07
29,29,7.5YR,1,4,0.526,0.402,0.89
30,30,10YR,1,2,0.4,0.37,1.08
31,31,10YR,1,4,0.537,0.439,0.91
32,32,2.5Y,1,0,0.31,0.316,1.21
33,33,2.5Y,1,2,0.395,0.385,1.09
34,34,2.5Y,1,4,0.542,0.479,0.93
35,35,5Y,1,2,0.389,0.396,1.1
36,36,7.5Y,1,2,0.383,0.404,1.1
37,37,10Y,1,2,0.371,0.412,1.1
38,38,2.5GY,1,0,0.31,0.316,1.21
39,39,2.5GY,1,2,0.356,0.416,1.08
40,40,5GY,1,2,0.335,0.415,1.07
41,41,5GY,1,4,0.361,0.618,0.85
42,42,7.5GY,1,2,0.315,0.41,1.06
43,43,7.5GY,1,4,0.301,0.586,0.85
44,44,10GY,1,2,0.294,0.398,1.04
45,45,10GY,1,4,0.252,0.586,0.84
46,46,2.5G,1,0,0.31,0.316,1.21
47,47,2.5G,1,2,0.279,0.386,1.03
48,48,2.5G,1,4,0.22,0.491,0.84
49,49,2.5G,1,6,0.096,0.657,0.62
50,50,5G,1,2,0.27,0.376,1.03
51,51,5G,1,4,0.199,0.456,0.83
52,52,5G,1,6,0.078,0.566,0.64
53,53,7.5G,1,2,0.258,0.362,1.02
54,54,7.5G,1,4,0.179,0.416,0.83
55,55,7.5G,1,6,0.063,0.481,0.66
56,56,10G,1,2,0.249,0.347,1.02
57,57,10G,1,4,0.168,0.38,0.83
58,58,10G,1,6,0.063,0.405,0.68
59,59,2.5BG,1,0,0.31,0.316,1.21
60,60,2.5BG,1,2,0.241,0.325,1.0
61,61,2.5BG,1,4,0.163,0.327,0.84
62,62,2.5BG,1,6,0.078,0.323,0.72
63,63,5BG,1,2,0.24,0.307,0.99
64,64,5BG,1,4,0.17,0.291,0.85
65,65,5BG,1,6,0.105,0.271,0.74
66,66,5BG,1,8,0.05,0.25,0.66
67,67,7.5BG,1,2,0.24,0.296,0.99
68,68,7.5BG,1,4,0.18,0.269,0.85
69,69,7.5BG,1,6,0.129,0.242,0.76
70,70,7.5BG,1,8,0.088,0.218,0.7
71,71,10BG,1,2,0.244,0.286,0.99
72,72,10BG,1,4,0.191,0.254,0.86
73,73,10BG,1,6,0.148,0.224,0.77
74,74,10BG,1,8,0.115,0.2,0.72
75,75,10BG,1,10,0.086,0.178,0.67
76,76,2.5B,1,0,0.31,0.316,1.21
77,77,2.5B,1,2,0.247,0.281,0.99
78,78,2.5B,1,4,0.197,0.246,0.86
79,79,2.5B,1,6,0.161,0.214,0.78
80,80,2.5B,1,8,0.133,0.189,0.72
81,81,2.5B,1,10,0.111,0.167,0.68
82,82,2.5B,1,12,0.089,0.144,0.66
83,83,5B,1,2,0.251,0.276,0.99
84,84,5B,1,4,0.205,0.239,0.86
85,85,5B,1,6,0.172,0.208,0.79
86,86,5B,1,8,0.146,0.182,0.73
87,87,5B,1,10,0.126,0.161,0.69
88,88,5B,1,12,0.105,0.138,0.65
89,89,5B,1,14,0.088,0.118,0.63
90,90,7.5B,1,2,0.255,0.271,0.98
91,91,7.5B,1,4,0.213,0.233,0.86
92,92,7.5B,1,6,0.182,0.202,0.79
93,93,7.5B,1,8,0.158,0.176,0.73
94,94,7.5B,1,10,0.14,0.156,0.7
95,95,7.5B,1,12,0.121,0.133,0.66
96,96,7.5B,1,14,0.104,0.112,0.63
97,97,10B,1,2,0.259,0.267,0.98
98,98,10B,1,4,0.223,0.227,0.86
99,99,10B,1,6,0.195,0.195,0.79
100,100,10B,1,8,0.175,0.17,0.74
101,101,10B,1,10,0.157,0.15,0.7
102,102,10B,1,12,0.139,0.128,0.67
103,103,10B,1,14,0.123,0.107,0.63
104,104,10B,1,16,0.106,0.087,0.61
105,105,2.5PB,1,0,0.31,0.316,1.21
106,106,2.5PB,1,2,0.263,0.264,0.98
107,107,2.5PB,1,4,0.239,0.223,0.86
108,108,2.5PB,1,6,0.205,0.191,0.79
109,109,2.5PB,1,8,0.186,0.166,0.74
110,110,2.5PB,1,10,0.171,0.146,0.7
111,111,2.5PB,1,12,0.156,0.124,0.67
112,112,2.5PB,1,14,0.142,0.103,0.64
113,113,2.5PB,1,16,0.129,0.081,0.61
114,114,2.5PB,1,18,0.118,0.06,0.59
115,115,5PB,1,2,0.269,0.26,0.98
116,116,5PB,1,4,0.239,0.219,0.86
117,117,5PB,1,6,0.219,0.185,0.79
118,118,5PB,1,8,0.203,0.161,0.74
119,119,5PB,1,10,0.191,0.141,0.71
120,120,5PB,1,12,0.179,0.12,0.68
121,121,5PB,1,14,0.167,0.099,0.65
122,122,5PB,1,16,0.155,0.077,0.62
123,123,5PB,1,18,0.145,0.056,0.59
124,124,5PB,1,20,0.136,0.036,0.57
125,125,7.5PB,1,2,0.275,0.258,0.98
126,126,7.5PB,1,4,0.251,0.214,0.86
127,127,7.5PB,1,6,0.233,0.181,0.79
128,128,7.5PB,1,8,0.222,0.157,0.74
129,129,7.5PB,1,10,0.213,0.136,0.71
130,130,7.5PB,1,12,0.205,0.121,0.68
131,131,7.5PB,1,14,0.198,0.095,0.65
132,132,7.5PB,1,16,0.19,0.074,0.62
133,133,7.5PB,1,18,0.185,0.053,0.6
134,134,7.5PB,1,20,0.18,0.033,0.58
135,135,7.5PB,1,22,0.176,0.014,0.56
136,136,10PB,1,2,0.282,0.256,0.98
137,137,10PB,1,4,0.264,0.211,0.86
138,138,10PB,1,6,0.252,0.182,0.79
139,139,10PB,1,8,0.244,0.153,0.74
140,140,10PB,1,10,0.237,0.133,0.71
141,141,10PB,1,12,0.231,0.113,0.68
142,142,10PB,1,14,0.225,0.094,0.65
143,143,10PB,1,16,0.219,0.073,0.63
144,144,10PB,1,18,0.214,0.053,0.6
145,145,10PB,1,20,0.209,0.033,0.58
146,146,2.5P,1,0,0.31,0.316,1.21
147,147,2.5P,1,2,0.288,0.255,0.98
148,148,2.5P,1,4,0.275,0.21,0.85
149,149,2.5P,1,6,0.265,0.176,0.79
150,150,2.5P,1,8,0.259,0.152,0.74
151,151,2.5P,1,10,0.253,0.132,0.71
152,152,2.5P,1,12,0.249,0.112,0.68
153,153,2.5P,1,14,0.245,0.093,0.65
154,154,2.5P,1,16,0.241,0.072,0.62
155,155,2.5P,1,18,0.237,0.053,0.6
156,156,2.5P,1,20,0.234,0.034,0.58
157,157,5P,1,2,0.297,0.254,0.98
158,158,5P,1,4,0.288,0.209,0.85
159,159,5P,1,6,0.281,0.176,0.78
160,160,5P,1,8,0.277,0.152,0.74
161,161,5P,1,10,0.273,0.132,0.7
162,162,5P,1,12,0.269,0.112,0.67
163,163,5P,1,14,0.265,0.092,0.64
164,164,5P,1,16,0.262,0.071,0.62
165,165,5P,1,18,0.259,0.053,0.6
166,166,7.5P,1,2,0.304,0.255,0.97
167,167,7.5P,1,4,0.299,0.209,0.85
168,168,7.5P,1,6,0.295,0.177,0.78
169,169,7.5P,1,8,0.292,0.152,0.73
170,170,7.5P,1,10,0.289,0.132,0.7
171,171,7.5P,1,12,0.287,0.112,0.66
172,172,7.5P,1,14,0.284,0.092,0.64
173,173,7.5P,1,16,0.281,0.071,0.61
174,174,7.5P,1,18,0.279,0.053,0.59
175,175,10P,1,2,0.311,0.256,0.97
176,176,10P,1,4,0.311,0.211,0.85
177,177,10P,1,6,0.31,0.178,0.78
178,178,10P,1,8,0.309,0.153,0.72
179,179,10P,1,10,0.307,0.134,0.69
180,180,10P,1,12,0.306,0.113,0.66
181,181,10P,1,14,0.304,0.093,0.63
182,182,10P,1,16,0.303,0.073,0.6
183,183,2.5RP,1,0,0.31,0.316,1.21
184,184,2.5RP,1,2,0.322,0.259,0.97
185,185,2.5RP,1,4,0.328,0.214,0.84
186,186,2.5RP,1,6,0.332,0.182,0.77
187,187,2.5RP,1,8,0.334,0.156,0.72
188,188,2.5RP,1,10,0.335,0.137,0.68
189,189,2.5RP,1,12,0.336,0.117,0.65
190,190,2.5RP,1,14,0.377,0.096,0.62
191,191,5RP,1,2,0.335,0.263,0.97
192,192,5RP,1,4,0.352,0.223,0.84
193,193,5RP,1,6,0.364,0.19,0.76
194,194,5RP,1,8,0.373,0.166,0.71
195,195,5RP,1,10,0.379,0.145,0.67
196,196,5RP,1,12,0.386,0.126,0.63
197,197,5RP,1,14,0.392,0.103,0.6
198,198,7.5RP,1,2,0.351,0.272,0.97
199,199,7.5RP,1,4,0.382,0.235,0.83
200,200,7.5RP,1,6,0.405,0.205,0.75
201,201,7.5RP,1,8,0.423,0.18,0.69
202,202,7.5RP,1,10,0.437,0.16,0.65
203,203,7.5RP,1,12,0.45,0.142,0.62
204,204,10RP,1,2,0.364,0.282,0.98
205,205,10RP,1,4,0.409,0.251,0.83
206,206,10RP,1,6,0.448,0.223,0.74
207,207,10RP,1,8,0.479,0.201,0.68
208,208,10RP,1,10,0.505,0.181,0.64
209,209,2.5R,2,0,0.31,0.316,3.12
210,210,2.5R,2,2,0.36,0.3,2.67
211,211,2.5R,2,4,0.407,0.282,2.33
212,212,2.5R,2,6,0.45,0.265,2.1
213,213,2.5R,2,8,0.488,0.248,1.91
214,214,2.5R,2,10,0.525,0.232,1.77
215,215,2.5R,2,12,0.556,0.218,1.65
216,216,2.5R,2,14,0.585,0.205,1.56
217,217,5R,2,2,0.366,0.309,2.69
218,218,5R,2,4,0.42,0.297,2.35
219,219,5R,2,6,0.471,0.284,2.1
220,220,5R,2,8,0.519,0.27,1.89
221,221,5R,2,10,0.562,0.256,1.75
222,222,5R,2,12,0.603,0.244,1.62
223,223,5R,2,14,0.64,0.231,1.52
224,224,7.5R,2,2,0.369,0.316,2.74
225,225,7.5R,2,4,0.43,0.311,2.37
226,226,7.5R,2,6,0.488,0.302,2.11
227,227,7.5R,2,8,0.543,0.292,1.89
228,228,7.5R,2,10,0.594,0.286,1.73
229,229,7.5R,2,12,0.642,0.27,1.6
230,230,7.5R,2,14,0.691,0.258,1.49
231,231,10R,2,2,0.372,0.326,2.77
232,232,10R,2,4,0.441,0.329,2.4
233,233,10R,2,6,0.51,0.327,2.11
234,234,10R,2,8,0.57,0.322,1.91
235,235,10R,2,10,0.628,0.315,1.73
236,236,10R,2,12,0.685,0.309,1.59
237,237,2.5YR,2,0,0.31,0.316,3.12
238,238,2.5YR,2,2,0.373,0.333,2.79
239,239,2.5YR,2,4,0.448,0.345,2.44
240,240,2.5YR,2,6,0.527,0.351,2.14
241,241,2.5YR,2,8,0.593,0.353,1.92
242,242,2.5YR,2,10,0.658,0.353,1.76
243,243,5YR,2,2,0.374,0.34,2.84
244,244,5YR,2,4,0.455,0.364,2.48
245,245,5YR,2,6,0.547,0.389,2.17
246,246,5YR,2,8,0.621,0.397,1.97
247,247,7.5YR,2,2,0.373,0.349,2.87
248,248,7.5YR,2,4,0.459,0.387,2.56
249,249,7.5YR,2,6,0.57,0.427,2.22
250,250,10YR,2,2,0.371,0.358,2.89
251,251,10YR,2,4,0.46,0.411,2.6
252,252,2.5Y,2,0,0.31,0.316,3.12
253,253,2.5Y,2,2,0.368,0.364,2.92
254,254,2.5Y,2,4,0.457,0.43,2.65
255,255,5Y,2,2,0.363,0.371,2.92
256,256,5Y,2,4,0.45,0.451,2.65
257,257,7.5Y,2,2,0.359,0.375,2.92
258,258,7.5Y,2,4,0.439,0.47,2.65
259,259,10Y,2,2,0.351,0.38,2.92
260,260,10Y,2,4,0.421,0.482,2.65
261,261,2.5GY,2,0,0.31,0.316,3.12
262,262,2.5GY,2,2,0.341,0.382,2.92
263,263,2.5GY,2,4,0.392,0.491,2.6
264,264,5GY,2,2,0.327,0.383,2.89
265,265,5GY,2,4,0.394,0.494,2.54
266,266,7.5GY,2,2,0.315,0.379,2.87
267,267,7.5GY,2,4,0.32,0.483,2.5
268,268,7.5GY,2,6,0.305,0.654,2.03
269,269,10GY,2,2,0.302,0.373,2.82
270,270,10GY,2,4,0.287,0.463,2.46
271,271,10GY,2,6,0.252,0.61,2.0
272,272,10GY,2,8,0.222,0.685,1.82
273,273,10GY,2,10,0.191,0.75,1.66
274,274,2.5G,2,0,0.31,0.316,3.12
275,275,2.5G,2,2,0.292,0.366,2.82
276,276,2.5G,2,4,0.26,0.435,2.44
277,277,2.5G,2,6,0.203,0.535,2.02
278,278,2.5G,2,8,0.164,0.59,1.83
279,279,2.5G,2,10,0.125,0.645,1.67
280,280,2.5G,2,12,0.085,0.698,1.54
281,281,2.5G,2,14,0.044,0.751,1.43
282,282,5G,2,2,0.284,0.359,2.79
283,283,5G,2,4,0.243,0.414,2.42
284,284,5G,2,6,0.176,0.484,2.03
